"train/global_step","llama-3.1-8b-finetuning-v1 - _step","llama-3.1-8b-finetuning-v1 - _step__MIN","llama-3.1-8b-finetuning-v1 - _step__MAX","llama-3.1-8b-finetuning-v1 - train/learning_rate","llama-3.1-8b-finetuning-v1 - train/learning_rate__MIN","llama-3.1-8b-finetuning-v1 - train/learning_rate__MAX"
"620","71","65","74","0.00011306877500038357","0.00006721964500364775","0.00019584002575536103"
"630","72","66","75","0.00011074217495163179","0.0000637751999692343","0.00019567934958971846"
"640","73","67","76","0.00010844190314450633","0.0000603795425359373","0.00019551569739389223"
"650","74","68","77","0.00010617084273753432","0.0000570372459789781","0.00019534907425815398"
"660","75.66666666666667","69","79","0.00010393183783908367","0.000053752811707090455","0.000195179485365184"
"670","76.66666666666667","70","80","0.00010172768985156298","0.000050530663200017824","0.0001950069359899101"
"680","77.66666666666667","71","81","0.0000995611538710257","0.00004737514005096624","0.0001948314314993436"
"690","78.66666666666667","72","82","0.0000974349351468194","0.000044290492122035056","0.00019465297735241226"
"700","79.66666666666667","73","83","0.00009535168560584441","0.00004128087382049812","0.00019447157909979062"
"710","81.33333333333333","74","85","0.00009331400044590097","0.000038350338503643366","0.00019428724238372734"
"720","82.33333333333333","75","86","0.00009132441480251523","0.000035502833019706694","0.00019409997293786944"
"730","83.33333333333333","76","87","0.00008938540049353837","0.00003274219239225225","0.0001939097765870844"
"740","84.33333333333333","77","88","0.00008749936284571322","0.000030072134655158646","0.00019371665924727862"
"750","85.33333333333333","78","89","0.00008566863760729486","0.000027496255845166507","0.00019352062692521362"
"760","87","79","91","0.00008389548795070211","0.000025018025158732472","0.0001933216857183191"
"770","88","80","92","0.00008218210156905794","0.000022640780279711205","0.00019311984181450326"
"780","89","81","93","0.00008053058787035717","0.000020367722884159335","0.00019291510149196047"
"790","90","82","94","0.00007894297527287178","0.00001820191432831445","0.00019270747111897589"
"800","91","83","95","0.00007742120860527341","0.00001614627152555709","0.00019249695715372732"
"810","91","85","97","0.000017808936850184164","0.000014203563017908527","0.000021414310682459802"
"820","92","86","98","0.00001584018701648761","0.000012376405247355394","0.00001930396878561983"
"830","93","87","99","0.000013979600802283183","0.000010667259032022558","0.000017291942572543807"
"840","94","88","100","0.000012229554819592125","0.000009078426251940642","0.00001538068338724361"
"850","95","89","101","0.000010592283276750431","0.000007612046748871327","0.000013572519804629536"
"860","96.5","90","103","0.000009069875118933474","0.000006270095444366164","0.000011869654793500784"
"870","97.5","91","104","0.000007664271356253577","0.000005054379679939991","0.000010274163032567163"
"880","98.5","92","105","0.0000063772625828570185","0.000003966536782941332","0.000008787988382772705"
"890","99.5","93","106","0.000005210486690199334","0.0000030080318613981416","0.000007412941519000527"
"900","100.5","94","107","0.0000041654267774265285","0.00000218015583080865","0.0000061506977240444074"
"910","102","95","109","0.000003243409261534869","0.0000014840236755349734","0.000005002794847534764"
"920","103","96","110","0.000002445602189723267","9.205729471408409e-7","0.000003970631432305694"
"930","104","97","111","0.0000017730137560911684","4.905625016962234e-7","0.0000030554650104861136"
"940","105","98","112","0.0000012264910245697091","1.9457147774900597e-7","0.0000022584105713904125"
"950","106","99","113","8.067188597082331e-7","3.299851634065432e-8","0.000001580439203075812"
"960","100","100","100","0.0000010223769092211012","0.0000010223769092211012","0.0000010223769092211012"
"970","101","101","101","5.849036027684606e-7","5.849036027684606e-7","5.849036027684606e-7"
"980","102","102","102","2.685522775541904e-7","2.685522775541904e-7","2.685522775541904e-7"
"990","103","103","103","7.370835893788508e-8","7.370835893788508e-8","7.370835893788508e-8"
"1000","104","104","104","6.092342209607083e-10","6.092342209607083e-10","6.092342209607083e-10"
